section,offence_name,class,minimum_indictable,maximum_indictable,minimum_summary,maximum_summary
cc320.14(3),operation while impaired — causing death — subsequent offence,120d,life,,
cc320.14(4),operation while impaired — low blood drug concentration,,,,1000$
cc320.15(1),failure or refusal to comply with demand — first offence,2000$,10y,1000$,5000$-729d-729d&5000$
cc320.15(1),failure or refusal to comply with demand — second offence,30d,10y,30d,5000$-729d-729d&5000$
cc320.15(1),failure or refusal to comply with demand — subsequent offence,120d,10y,120d,5000$-729d-729d&5000$
cc320.15(2),failure or refusal to comply with demand — accident resulting in bodily harm — first offence,1000$,10y,1000$,5000$-729d-729d&5000$
cc320.15(2),failure or refusal to comply with demand — accident resulting in bodily harm — second offence,30d,10y,30d,5000$-729d-729d&5000$
cc320.15(2),failure or refusal to comply with demand — accident resulting in bodily harm — subsequent offence,120d,10y,120d,5000$-729d-729d&5000$
cc320.15(3),failure or refusal to comply with demand — accident resulting in death — first offence,1000$,life,,
cc320.15(3),failure or refusal to comply with demand — accident resulting in death — second offence,30d,life,,
cc320.15(3),failure or refusal to comply with demand — accident resulting in death — subsequent offence,120d,life,,
cc320.16(1),failure to stop after accident,,10y,,summary
cc320.16(2),failure to stop after accident — accident resulting in bodily harm — first offence,1000$,10y,1000$,5000$-729d-729d&5000$
cc320.16(2),failure to stop after accident — accident resulting in bodily harm — second offence,30d,10y,30d,5000$-729d-729d&5000$
cc320.16(2),failure to stop after accident — accident resulting in bodily harm — subsequent offence,120d,10y,120d,5000$-729d-729d&5000$
cc320.16(3),failure to stop after accident — accident resulting in death — first offence,1000$,life,,
cc320.16(3),failure to stop after accident — accident resulting in death — second offence,30d,life,,
cc320.16(3),failure to stop after accident — accident resulting in death — subsequent offence,120d,life,,
cc320.17,flight from peace officer,,10y,,summary
cc320.18,operation while prohibited,,10y,,summary
cc327,possession of device to obtain telecommunication facility or service,,2y,,summary
cc333.1(1),motor vehicle theft,,10y,,summary
cc333.1(1),motor vehicle theft — third or subsequent offence,6m,10y,,
cc333.1(3),motor vehicle theft — violence used threatened or attempted,,14y,,
cc333.1(4),motor vehicle theft — criminal organization,,14y,,
cc333.2(1),possession of device for purpose of committing theft,,10y,,summary
cc333.2(2),distribution of device linked to theft,,10y,,summary
cc334(a),theft over $5000,,10y,,summary
cc334(b),theft under $5000,,2y,,summary
cc335,taking motor vehicle or vessel or found therein without consent,,,,summary
cc336,criminal breach of trust,,14y,,
cc338(1),fraudulently taking cattle or defacing brand,,5y,,summary
cc338(2),theft of cattle,,10y,,summary
cc339(1),taking possession of drift timber,,5y,,summary
cc339(2),dealer in second-hand goods U2014 — registered lumbering equipment,,,,summary
cc340,destroying documents of title,,10y,,summary
cc341,fraudulent concealment,,2y,,summary
cc342(1),theft forgery of credit card,,10y,,summary
cc342(3),unauthorized use of credit card data,,10y,,summary
cc342.01,instruments for copying credit card data or forging or falsifying credit cards,,10y,,summary
cc342.1,unauthorized use of computer,,10y,,summary
cc342.2,possession of device to obtain unauthorized use of computer system or commit mischief,,2y,,summary
cc344(1)(a)(i),robbery — restricted or prohibited firearm or criminal organization — first offence,5y,life,,
cc344(1)(a)(ii),robbery — restricted or prohibited firearm or criminal organization — subsequent offence,7y,life,,
cc344(1)(b),robbery,,life,,
cc345,stopping mail with intent,,life,,
